Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
休閒教育所,1,3905002,1,運動行銷與創意Sport marketing and Creativity,廖俊儒,2  2/0/0,2,選修,"三2,3",運技系110室,30,碩士班課程
休閒教育所,1,3905015,1,應用競技運動心理學Applied Sport Psychology,陳俊民,2  2/0/0,2,選修,"二2,3",運技系110室,30,碩士班課程
休閒教育所,1,3905035,1,運動與休閒資訊科技Sports & Leisure Information Technology Study,林晉榮,2  2/0/0,2,必修,"二4,5",運技系104室,40,碩士班課程
休閒教育所,1,3905039,1,當代運動與休閒書報討論Seminar: Contemporary Issues In Sports & Leisure Studies,廖俊儒,2  0/0/2,1,必修,"三10,11",運技系104室,0,碩士班課程
休閒教育所,1,3905131,1,運動生理學專題研究Special Topics in Exercise Physiology,何承訓,2  2/0/0,2,選修,"五8,9",運動科學教育研究室,0,碩士班課程
休閒教育所,1,3905133,1,運動技術分析專題研究Special Topics in Sports Skill,王順正,2  2/0/0,2,選修,"四8,9",運技系104室,40,碩士班課程
休閒教育所,1,3905341,1,休閒治療研究Therapeutic Recreation,許文蔚,2  2/0/0,2,選修,"二8,9",運技系104室,40,碩士班課程
休閒教育所,1,3905507,1,休閒活動與老年Leisure and Aging,王秀華,2  2/0/0,2,選修,"三4,5",運技系107室,30,碩士班課程
休閒教育所,1,3905551,1,進階統計Advanced Statistics,陳永洲,2  2/0/0,2,選修,"四2,3",運技系107室,30,碩士班課程
